MA 213	Algebra II	Abhishek Banerjee	Mon, Wed, Fri	2:00 - 3:00
MA 216	Introduction to Graph Theory	Vineeth Chintala/ R. Venkatesh	Tue, Thu	10:00 - 11:30
MA 218	Number Theory	Soumya Das	Tue, Thu	11:30 - 1:00
MA 220	Representation Theory of Finite Groups	Shaunak Deo	Mon, Wed, Fri	11:00 - 12:00
MA 222	Measure & Integration	Arka Mallick	Mon, Wed, Fri	11:00 - 12:00
MA 224	Complex Analysis	Ved Datar	Tue, Thu	10:00 - 11:30
MA 235	Introduction to Differentiable Manifolds	Vamsi Pritham Pingali	Tue, Thu	3:30 - 5: 00
MA 262	Introduction to Stochastic Processes	Sanchayan Sen	Tue, Thu	3:30 - 5: 00
MA 316	Introduction to Homological Algebra	Safdar Quddus	Tue, Thu	8:30 - 10:00
MA 319	Algebraic Combinatorics	Arvind Ayyer and Digjoy Paul	Tue, Thu	2:00 - 3:30
MA 321	Analysis 3	E. K. Narayanan	Tue, Thu	8:30 - 10:00
MA 325	Operator Theory II	E. K. Narayanan	Tue, Thu	11:30 - 1:00
MA 327	Topics in analysis	Manjunath Krishnapur	Tue, Thu	2:00 - 3:30
MA 332	Algebraic Topology	Siddhartha Gadgil	Tue, Thu	8:30 - 10:00
MA 340	Advanced Functional Analysis	Chandan Pradhan and Tirthankar Bhattacharyya	Tue, Thu	2:00 - 3:30
MA 357	Topics in Representation theory	Radhika Ganapathy	Tue, Thu	8:30 - 10:00
MA 358	Topics in Number Theory 2 (p-adic L-functions)	Bharathwaj Palvannan	Tue, Thu	10:00 - 11:30
MA 358A	Topics in Number Theory 3 (Iwasawa theory)	Mahesh Kakde	Tue, Thu	2:00 - 3:30
MA 366	Stochastic Finance II	Srikanth Iyer	Tue, Thu	11:30 - 1:00
